vedadc_n,vantig_n,vnline_n,vgamma_c,veaseg_c,vctcpl_n,vccdeu_n,vccdeu_n,ttkbco_n,vtarge_c
,,2,PREMIUM,n,11,0,0,0,0
62,,2,PREMIUM,n,113,32,32,0,0
51,,3,,n,24,2,2,0,0
62,116,1,ALTA,n,29,4,4,3595147,0
53,,1,PREMIUM PLUS,n,34,4,4,0,0
57,,2,PREMIUM PLUS,s,27,3,3,6060450,0
54,,1,,n,5,0,0,0,0
59,,2,PREMIUM,n,15,0,0,0,0
58,,1,PREMIUM PLUS,n,11,0,0,0,0
66,142,2,PREMIUM PLUS,n,39,1,1,0,0
,,1,,n,0,0,0,0,0
65,,2,PREMIUM PLUS,n,30,0,0,0,0
71,,1,PREMIUM,n,100,36,36,66984,0
65,,3,PREMIUM PLUS,n,21,1,1,9871303,0
55,,2,PREMIUM PLUS,n,22,0,0,0,0
50,,2,PREMIUM PLUS,n,19,1,1,0,0
66,,1,,n,0,0,0,0,0
61,,3,PREMIUM PLUS,n,18,0,0,3974158,0
43,128,2,PREMIUM,n,34,10,10,698088,0
62,,3,ALTA,n,33,0,0,3003510,0
55,,1,PREMIUM PLUS,n,46,11,11,0,0
52,,3,,n,26,2,2,0,0
86,,1,MEDIA,n,18,1,1,226683,0
63,,2,PREMIUM PLUS,n,23,1,1,0,0
49,,1,PREMIUM,n,56,13,13,11931236,0
66,105,1,PREMIUM,n,18,0,0,1056162,0
51,,2,,n,21,1,1,7012618,0
57,,2,PREMIUM PLUS,n,19,3,3,0,0
52,,1,,n,83,26,26,5779274,0
51,,1,,n,0,0,0,0,0
51,,4,PREMIUM PLUS,n,27,0,0,7249173,0
61,,2,PREMIUM PLUS,n,16,0,0,390624,0
58,,4,PREMIUM,n,14,1,1,514274,0
56,,2,PREMIUM,n,88,23,23,0,0
17,,2,PREMIUM PLUS,n,18,0,0,1237854,0
116,,4,PREMIUM,n,151,50,50,18103341,0
48,,2,PREMIUM PLUS,n,43,1,1,1645554,0
53,153,1,PREMIUM,n,26,2,2,0,0
47,,2,PREMIUM PLUS,n,90,27,27,0,0
,,1,,n,68,7,7,0,0
9,116,1,PREMIUM PLUS,n,31,7,7,0,0
25,,6,PREMIUM,n,11,0,0,0,0
69,23,1,PREMIUM PLUS,n,18,1,1,0,0
72,,2,PREMIUM PLUS,n,18,1,1,3369804,0
,,3,PREMIUM PLUS,n,95,32,32,1760632,0
50,162,1,PREMIUM PLUS,n,24,3,3,5187613,0
58,,4,,n,76,8,8,3208915,0
17,135,3,PREMIUM,n,38,0,0,0,0
,,1,,n,9,1,1,0,0
54,,4,PREMIUM,n,15,1,1,8604619,0
,36,1,PREMIUM PLUS,n,23,3,3,1350881,0
61,,1,PREMIUM,n,9,0,0,0,0
68,,1,PREMIUM,n,39,8,8,0,0
61,,2,PREMIUM PLUS,n,18,0,0,0,0
66,,1,PREMIUM,n,21,2,2,0,0
68,,1,PREMIUM,n,11,0,0,239848,0
43,148,2,,n,15,4,4,0,0
71,,1,PREMIUM,n,28,2,2,0,0
64,,6,PREMIUM PLUS,n,90,40,40,747358,0
43,,1,PREMIUM PLUS,n,14,0,0,780660,0
61,,2,ALTA,n,12,0,0,1176632,0
83,,2,PREMIUM PLUS,n,21,0,0,1250558,0
76,,1,,n,12,1,1,0,0
47,,1,PREMIUM,n,29,6,6,0,0
34,,2,PREMIUM,n,33,7,7,0,0
69,86,2,PREMIUM PLUS,n,16,0,0,0,0
57,,2,PREMIUM PLUS,n,19,0,0,3162528,0
64,,1,,n,17,0,0,898140,0
,,1,,n,4,1,1,0,0
62,21,1,PREMIUM PLUS,s,28,7,7,578595,0
63,,1,PREMIUM PLUS,n,25,1,1,6257262,0
77,126,1,PREMIUM PLUS,n,57,16,16,0,0
57,,3,PREMIUM PLUS,n,18,1,1,0,0
67,,1,PREMIUM PLUS,n,24,5,5,0,0
53,,3,PREMIUM PLUS,n,32,6,6,3635748,0
53,,2,MEDIA,n,20,3,3,4674383,0
,122,2,PREMIUM PLUS,n,26,1,1,564356,0
,,1,,n,0,0,0,0,0
60,,1,ALTA,n,40,11,11,0,0
49,,1,MEDIA,n,51,3,3,0,0
58,,3,PREMIUM,n,23,3,3,0,0
54,,1,,n,42,15,15,0,0
,24,1,PREMIUM PLUS,n,56,13,13,0,0
13,159,1,PREMIUM,n,81,30,30,2117553,0
,16,4,PREMIUM PLUS,n,17,1,1,737714,0
64,,2,PREMIUM PLUS,n,15,1,1,941207,0
69,,1,PREMIUM,n,13,1,1,1375272,0
71,,1,PREMIUM PLUS,n,15,1,1,357712,0
44,,1,PREMIUM PLUS,s,51,1,1,10022940,0
60,,2,PREMIUM PLUS,n,14,0,0,3718234,0
,,1,,n,8,1,1,0,0
,,1,MEDIA,n,8,1,1,0,0
116,111,3,PREMIUM PLUS,n,125,47,47,6972440,0
58,,1,PREMIUM,n,28,2,2,0,0
56,,2,,n,13,0,0,2950658,0
46,,1,ALTA,n,63,25,25,0,0
52,,3,PREMIUM,n,102,39,39,2175458,0
60,,1,PREMIUM PLUS,s,33,5,5,15653562,0
,,1,,n,7,0,0,0,0
58,,1,,n,25,5,5,0,0
18,,2,PREMIUM,n,47,10,10,0,0
57,,1,ALTA,n,19,1,1,1285121,0
58,,1,PREMIUM PLUS,n,28,2,2,0,0
41,131,2,PREMIUM,n,20,3,3,11358472,0
56,,1,PREMIUM,n,41,12,12,4305226,0
58,,2,ALTA,n,19,0,0,0,0
18,,1,PREMIUM PLUS,n,62,22,22,0,0
70,,1,PREMIUM PLUS,n,5,0,0,37000,0
54,,2,PREMIUM PLUS,n,15,0,0,2435512,0
57,,1,PREMIUM PLUS,n,29,3,3,6111668,0
54,,2,PREMIUM,n,8,0,0,0,0
50,,2,,n,93,35,35,0,0
56,,1,PREMIUM PLUS,n,5,0,0,0,0
64,,1,PREMIUM,n,19,5,5,2412869,0
76,,1,PREMIUM,n,28,2,2,0,0
70,,1,ALTA,s,17,1,1,0,0
50,133,1,PREMIUM,n,50,9,9,1387287,0
60,,3,PREMIUM PLUS,n,12,1,1,452010,0
47,,5,PREMIUM PLUS,n,65,20,20,0,0
58,,1,PREMIUM,n,42,9,9,0,0
46,,3,PREMIUM PLUS,s,28,0,0,2423120,0
58,,1,PREMIUM,n,36,6,6,3823243,0
72,,1,PREMIUM,n,10,1,1,0,0
70,135,1,PREMIUM PLUS,n,20,1,1,0,0
74,,1,PREMIUM PLUS,n,13,0,0,0,0
48,,1,PREMIUM PLUS,n,41,10,10,0,0
37,154,1,,n,16,0,0,0,0
60,,2,ALTA,n,25,2,2,3857989,0
60,148,1,PREMIUM,n,20,0,0,0,0
49,,2,PREMIUM,n,15,0,0,3822921,0
58,,1,ALTA,n,20,0,0,381665,0
60,,2,,n,54,22,22,0,0
70,,3,PREMIUM PLUS,n,71,27,27,1632554,0
54,,3,PREMIUM PLUS,n,32,0,0,1198090,0
,,1,PREMIUM PLUS,n,41,8,8,1693720,0
56,,1,PREMIUM PLUS,n,23,0,0,0,0
,,1,PREMIUM PLUS,n,37,4,4,0,0
78,,1,PREMIUM,n,16,2,2,1131546,0
66,,1,PREMIUM,n,21,0,0,1006272,0
47,,5,PREMIUM,n,24,2,2,6123058,0
49,,2,PREMIUM PLUS,n,23,8,8,5891447,0
62,143,3,ALTA,n,29,6,6,131481,0
67,,1,ALTA,n,19,4,4,7183391,0
43,,1,,n,16,1,1,0,0
116,110,7,,n,22,11,11,0,0
59,,2,PREMIUM,n,23,0,0,1965147,0
52,,2,ALTA,n,11,0,0,83292,0
